sheet_name,born,death,cause
福知山令明,2019-07-10,2026-03-26,腸閉塞
富士ルナ,2006-07-10,2026-02-09,
姫センジャジャ佳佳,2014-07-01,2025-11-09,急性の心臓疾患
那須与一よいち,2013-06-12,2025-10-18,
多摩カソン,2017-06-11,2025-10-02,膿胸
沖縄チャル,2018-07-18,2025-05-01,肝不全および腎不全
茶臼山タイチ,2005-07-01,2025-04-30,老衰
円山セイタ,2005-06-23,2024-11-30,左大脳の出血と周囲の脳浮腫、変性性腰仙椎狭窄症
日立さくら,2004-06-17,2024-03-08,老衰
平川風美フウミ,2007-07-11,2023-12-14,心不全
羽村リンリン玲玲,2001-06-19,2023-09-22,
羽村ラテ,2013-06-11,2023-08-29,肺水腫による呼吸機能不全
のいちカイ,2005-07-01,2023-02-03,肝機能の低下、循環不全等が疑われていますが、詳しくは現在調査中です。
伊豆のんた,2012-06-27,2022-10-10,
東北ターシャン稲光,2002-07-01,2022-10-06,老衰
徳山リボン,2006-05-30,2022-09-27,腎不全
多摩花花ファンファン,1999-07-09,2022-09-08,多臓器不全
江戶川遊遊ユウユウ,2002-06-21,2022-08-17,各臓器に疾患が見られ、
大森山麻麻マーマー,2005-07-07,2022-06-28,胆管閉塞
富士ライライ来来(故),2008-07-01,2022-02-13,
日立イチ(故),2004-07-23,2021-11-17,心不全
徳山ヒコ(故),2014-07-07,2021-07-23,生まれつき心臓に奇形によ急性循環不全
甲府ホクト(故),2014-07-11,2021-04-02,腸閉塞による誤嚥性肺炎
茶臼山龍ロン(故),2005-06-23,2021-02-16,腸閉塞による胃拡張および誤嚥性肺炎による呼吸不全
大崎ミク(故),1999-07-21,2021-01-22,老衰
長崎椎しい(故),2000-07-13,2020-01-19,老衰
八景島朝日あさひ(故),2015-06-29,2019-09-04,うっ血性肺水腫
上野黄太郎キタロウ(故),2003-06-26,2019-08-06,多臓器不全
ズーラシアデール(故),2001-06-19,2019-08-02,胃捻転
東武ココロ(故),2007-09-06,2019-07-29,栄養障害により栄養を上手く摂取出来なかった
旭川栃トチ(故),2001-07-24,2019-04-05,腹水の貯留と心臓の拡張を認め、心不全(老衰)
とべ緑乃介(故),1999-07-27,2019-03-12,老衰
浜松キンタロウ(故),1997-07-17,2019-01-03,心不全
野毛山キンタ(故),2000-06-08,2018-06-11,老衰
羽村剛ゴウ(故),2000-06-19,2018-04-29,
福知山秀ひで,2016-06-22,2018-02-15,幽門部閉塞
秋吉台宝宝バウバウ(故),1994-07-11,2018-01-02,老衰
上野杏杏アンアン(故),2005-07-07,2017-11-28,副腎皮質機能低下症
みさきコウセイ(故),2000-06-23,2017-08-16,肝腫瘍
茶臼山星奈セイナ(故),2000-06-23,2017-02-17,加齢による心不全
とべ優砥ゆうと(故),2014-07-22,2017-01-09,窒息死
釧路メイメイ美美(故),1999-06-27,2017-01-04,老衰
安佐マツ(故),2004-07-23,2016-11-27,
富山ラミー(故),2002-07-12,2016-11-01,
ズーラシア茶太郎チャタロウ(故),2003-06-26,2016-10-27,消化器系疾患が疑われる
八木山シュララ(故),2007-06-23,2016-10-01,
アドベンポリン(故),2002-06-15,2016-09-01,
日本平アーヤ(故),1998-07-03,2016-09-21,
枚方ブービー(故),2000-06-30,2016-01-01,
日本平アーニャ(故),1998-07-03,2016-06-04,
甲府レン(故),2004-06-17,2016-05-14,心不全
到津同同トントン(故),1994-05-01,2016-05-11,老衰
浜松チャ(故),1997-07-27,2016-03-27,
宮崎フランツ(故),2000-06-23,2016-03-08,
みさき光光コウコウ(故),1999-07-07,2016-02-19,
京都茶々チャチャ(故),1993-06-27,2016-02-17,循環不全肺炎
枚方スイカ(故),2002-08-04,2016-02-03,
市川フラン(故),2011-06-27,2016-02-02,
八木山リク(故),1999-07-20,2015-10-12,
千葉チイチイ(故),2003-06-16,2015-07-18,腸閉塞
いしかわタンタン(故),2001-06-19,2015-07-22,
みさき風風フウフウ(故),1999-07-07,2015-01-01,
到津楠クス(故),1991-06-24,2015-07-15,老衰
